web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576100255-572","https://losestudiantes.co/","Carlos Alberto Narvaez TovarIngeniería Mecánica y Mecatrónica","https://losestudiantes.co/universidad-nacional/ingenieria-mecanica-y-mecatronica/profesores/carlos-alberto-narvaez-tovar","El profesor narvaez es un excelente profesor, se le entiende muy bien, explica muy bien, las clases son muy productivas y se deja preguntar facilmente si la pregunta no ha sido repetida antes, es bastante exigente con los trabajos al momento de hacerlos sin embargo no es tan duro a la hora de calificar, tiende a ser muy juntso con las notas, lo recomiendo mucho, es un excelente profesorPros: es cumplido
es ordenado
enseña muy bien y si no se le entiende vuelve a explicar
es muy colaborativo cuando uno no entiendeCons: es muy riguroso con los trabajos","4.7"
"1576100398-589","https://losestudiantes.co/","Irma Angarita MoncaleanoIngeniería Mecánica y Mecatrónica","https://losestudiantes.co/universidad-nacional/ingenieria-mecanica-y-mecatronica/profesores/irma-angarita-moncaleano","Sabe muchísimo del tema, se le nota que le gusta enseñar y siempre le enseña algo más que otros profesores.
No es dificil dejarla alta, solo no llegue tarde a las clases","4.6"
"1576100709-620","https://losestudiantes.co/","Juan Edilberto Rincon PardoIngeniería Mecánica y Mecatrónica","https://losestudiantes.co/universidad-nacional/ingenieria-mecanica-y-mecatronica/profesores/juan-edilberto-rincon-pardo","Buen profesor y persona, pero muy desorganizado y no explicaPros: Resuelve dudas
Cons: Mala organizacion 
No explica
Estricto con las normas propias y las pedidas","3.5"
"1576100840-655","https://losestudiantes.co/","Sonia Lucia Rincon PratIngeniería Mecánica y Mecatrónica","https://losestudiantes.co/universidad-nacional/ingenieria-mecanica-y-mecatronica/profesores/sonia-lucia-rincon-prat","Es una excelente profesora, explica muy bien toda la tematica del curso, en los parciales pregunta lo que se enseño en clase y los ejercicios de los examenes son similares a los realizados en taller, la calificacion es justa y da material para estudiar extraclase.Pros: No deja trabajos fuera de clase.
Los parciales no son muy complejos.","4.9"
"1576100255-570","https://losestudiantes.co/","Carlos Alberto Narvaez TovarIngeniería Mecánica y Mecatrónica","https://losestudiantes.co/universidad-nacional/ingenieria-mecanica-y-mecatronica/profesores/carlos-alberto-narvaez-tovar","La parte màs importante es la forma en cómo se desempeñaba él mismo, ya que al estar en conjunto con el otro profesor era muy distinto. Así que, en este caso pude evidenciar la excelente forma en la cual guiaba los proyectos a desarrollar, tanto que si uno quiere pasar la materia alta sólo es cuestión de hacer todo lo que él dijera. Le da un gran p...
Leer más...Pros: Da muy buena guía en los proyectos
Responde dudas
Es respetuoso
Valora el trabajo de los alumnos justamente
Las clases individuales eran muy productivasCons: A veces no es muy clara la forma en la que saca las notas
Tiende a ser aburridor en las clases que manejaba junto con el otro profesor
La transcripción de audios para los proyectos era bastante tedioso y al final no se tuvo mucho en cuenta","4"
"1576100291-577","https://losestudiantes.co/","Jose Edgar Alfonso OrjuelaIngeniería Mecánica y Mecatrónica","https://losestudiantes.co/universidad-nacional/ingenieria-mecanica-y-mecatronica/profesores/jose-edgar-alfonso-orjuela","De los peores profesores que he tenido. Muy extricto, habla a veces muy mal de la universidad e integrantes. Quices difíciles, califica duro y daba muy poco tiempo para hacerlos. No es para nada recomendable. Pros: Muy puntual. Cons: Quices difíciles.
Calificaba muy duro los parciales
Mala gente.","2"
"1576100717-624","https://losestudiantes.co/","Jaime Guillermo Guerrero CasadiegoIngeniería Mecánica y Mecatrónica","https://losestudiantes.co/universidad-nacional/ingenieria-mecanica-y-mecatronica/profesores/jaime-guillermo-guerrero-casadiego","Muy buen profesor, la verdad es muy buena opción, se sabe esa materia de arriba a abajo es muy bueno y pues como los parciales son conjuntos no hay mayor problemaPros: Sabe mucho, suele ayudar Cons: Intenta meterle a uno terrorismo, pero no le sale jajajaja","4.5"
"1576100241-563","https://losestudiantes.co/","Johan Nicolas Camelo SanchezIngeniería Mecánica y Mecatrónica","https://losestudiantes.co/universidad-nacional/ingenieria-mecanica-y-mecatronica/profesores/johan-nicolas-camelo-sanchez","profesor promedio, explica muy poco, se necesita mucho aprendizaje autónomo, ayuda un poco en la calificación y es buena gente","3"
"1576100455-597","https://losestudiantes.co/","Maria Eugenia CalderonIngeniería Mecánica y Mecatrónica","https://losestudiantes.co/universidad-nacional/ingenieria-mecanica-y-mecatronica/profesores/maria-eugenia-calderon","Es facil pasar con ella, pero es un poco perezosa, se demora en entregar parciales, suele llegar tarde, y en esencia la clase de ella no se hace mucho","3"
"1576100306-580","https://losestudiantes.co/","Fredy Alejandro Orjuela GuerreroIngeniería Mecánica y Mecatrónica","https://losestudiantes.co/universidad-nacional/ingenieria-mecanica-y-mecatronica/profesores/fredy-alejandro-orjuela-guerrero","Es un muy buen profesor, sabe bastante, por eso mismo es exigente y se APRENDE. Va de acuerdo al programa de la materia y cumple con las fechas. NO SE DEJEN QUEDAR DE PLANCHAS. Dedíquenles tiempo para no tener que repetirlas y obtener buena nota (es justo en ello). Búsquense un buen equipo de trabajo. Pilas con los proyectos: intersemestral y final...
Leer más...Pros: Disposición de enseñar, explicar y resolver dudas tanto en clase como fuera de éstas, pues dispone de un horario para ello.","4.5"
