web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576100544-316","https://losestudiantes.co/","Olga Patricia Cobos De RangelNutrición","https://losestudiantes.co/universidad-nacional/nutricion/profesores/olga-patricia-cobos-de-rangel","De las mejores profesoras que tiene nutrición.Pros: Se aprende muchísimo. Le pone amor a lo que hace. Explica muy claro","5"
"1576100544-317","https://losestudiantes.co/","Olga Patricia Cobos De RangelNutrición","https://losestudiantes.co/universidad-nacional/nutricion/profesores/olga-patricia-cobos-de-rangel","Es la mejor docente que existe en el departamento de nutrición, explica de una manera muy detallada y precisa para que todos le entiendan, es algo exigente pero así es como se aprende, siempre está disponible para cualquier duda.","5"
"1576100544-314","https://losestudiantes.co/","Olga Patricia Cobos De RangelNutrición","https://losestudiantes.co/universidad-nacional/nutricion/profesores/olga-patricia-cobos-de-rangel","Es una buena profesora, es estricta a la hora de calificar pero siempre esta dispuesta a solucionar dudas de los estudiantes, las notas definitivas de las asignaturas que dicta la profesora en general no son muy altas ya que las parciales tienden a ser de mucha memoria.","4"
"1576100664-323","https://losestudiantes.co/","Sonia Liliana Pertuz CruzNutrición","https://losestudiantes.co/universidad-nacional/nutricion/profesores/sonia-liliana-pertuz-cruz","La profesora explica muy bien los temas y se hace entender, es una apasionada por su carrera, el único inconveniente es el tono de voz, tiene una voz muy suave que a veces arrulla pero en general muy buena","4.7"
"1576100699-325","https://losestudiantes.co/","Melier Edila Vargas ZarateNutrición","https://losestudiantes.co/universidad-nacional/nutricion/profesores/melier-edila-vargas-zarate","Se da a entender de una forma muy buena, tiene manejo con la clase y la atención a los estudiantes es la mejor pues siempre busca el momento para resolver las dudas, para la calificación es muy flexible y no todo depende de parciales lo cual es bueno, aunque son bastantes trabajos","4.1"
"1576100664-321","https://losestudiantes.co/","Sonia Liliana Pertuz CruzNutrición","https://losestudiantes.co/universidad-nacional/nutricion/profesores/sonia-liliana-pertuz-cruz","Explica muy bien sus temas pero su tono de voz es muy suave.","5"
"1576100565-319","https://losestudiantes.co/","Elpidia Poveda EspinosaNutrición","https://losestudiantes.co/universidad-nacional/nutricion/profesores/elpidia-poveda-espinosa","Es una profesora que sabe muchísimo y explica de forma muy clara aunque en las diapositivas la información esté algo desordenada, por eso es importante ponerle atención desde el principio, ya que es fácil distraerse con ella.","4"
"1576100544-318","https://losestudiantes.co/","Olga Patricia Cobos De RangelNutrición","https://losestudiantes.co/universidad-nacional/nutricion/profesores/olga-patricia-cobos-de-rangel","Una profesora muy buena, explica muy bien, es exigente y está disponible cuando uno la necesita, se hace entender y es muy dinámica","5"
"1576100544-315","https://losestudiantes.co/","Olga Patricia Cobos De RangelNutrición","https://losestudiantes.co/universidad-nacional/nutricion/profesores/olga-patricia-cobos-de-rangel","Es una profesora que sabe demasiado, es como un libro abierto, le puedes preguntar sobre cualquier cosa y ella tratara siempre de solucionarlo.Sin embargo, le debes de poner empeño y los parciales a veces son largos por eso se debe de estudiar mucho.Pros: Sabe demasiado 
Explica muy bien","5"
"1576100664-322","https://losestudiantes.co/","Sonia Liliana Pertuz CruzNutrición","https://losestudiantes.co/universidad-nacional/nutricion/profesores/sonia-liliana-pertuz-cruz","Es buena profesora pues explica sus temas muy bien y le brinda bastante apoyo a los estudiantes, el único mal detalle es que a veces olvida unos temas por dar que puede incluir en los parciales, aunque si se le recuerda ella da el tema y lo califica de otra forma, en general es excelente profesora, gracias a ella uno se interesa bastante en la carrera","4"
"1576100565-320","https://losestudiantes.co/","Elpidia Poveda EspinosaNutrición","https://losestudiantes.co/universidad-nacional/nutricion/profesores/elpidia-poveda-espinosa","La profesora sabe mucho acerca de la carrera sin embargo no sabe explicar de una forma entendible, y el tono de voz que emplea no es muy animadora","3.1"
"1576100699-324","https://losestudiantes.co/","Melier Edila Vargas ZarateNutrición","https://losestudiantes.co/universidad-nacional/nutricion/profesores/melier-edila-vargas-zarate","Es una buena profesora, ofrece una buena dinámica para las clases, realiza trabajos y talleres durante todo el semestre y es justa a la hora de realizar la calificación.","4.2"
